businessPhone,businessStreet,businessPostal,businessName
[u'(520) 795-1112'],[u'4811 E Grant Rd'],[u'85712'],[u'Cupcakes']
[u'(520) 747-7477'],[u'6260 E Speedway Blvd'],[u'85712'],[u'Beyond Bread']
[u'(520) 229-2124'],[u'7109 N Oracle Rd'],[u'85704'],[u'Frogs Organic Bakery']
[u'(520) 531-1011'],[u'6781 N Thornydale Rd Ste 229'],[u'85741'],"[u""Busy B's Bakery""]"
[u'(520) 746-1150'],[u'3928 S 6th Ave'],[u'85714'],[u'E &amp; L Southwest Cakes']
[u'(520) 326-0735'],[u'4553 E Broadway Blvd'],[u'85711'],[u'Nadines Bakery']
[u'(520) 322-9294'],[u'2930 N Swan Rd Ste 126'],[u'85712'],[u'Maribelle Cakery &amp; Tatisserie']
[u'(520) 322-6297'],[u'1797 E Prince Rd'],[u'85719'],[u'La Baguette Bakery']
[u'(520) 531-0977'],[u'7882 N Oracle Rd'],[u'85704'],[u'Village Bakehouse']
[u'(520) 296-1711'],[u'7851 E Broadway Blvd'],[u'85710'],[u'La Baguette Parisienne']
[u'(520) 903-1407'],[u'2500 S 6th Ave'],[u'85713'],"[u""Norma's Cakery""]"
[u'(520) 742-2253'],[u'7475 N La Cholla Blvd'],[u'85741'],[u'Sweet Things Cupcake Shoppe']
[u'(520) 777-3395'],[u'8963 E Tanque Verde Rd'],[u'85749'],[u'Sweet Tooshies Bakery']
[u'(520) 392-4557'],[u'10810 W Anthony Dr'],[u'85743'],[u'Enchanted Cakes &amp; Cupcakes']
[u'(520) 577-0326'],[u'6370 N Campbell Ave Ste 160'],[u'85718'],[u'Cafe Jasper']
[u'(520) 881-6674'],[u'2575 N Campbell Ave'],[u'85719'],[u'Bagelry']
[u'(520) 881-7735'],[u'5319 E Speedway Blvd'],[u'85712'],[u'Something Sweet Dessert Lounge']
[u'(520) 290-9714'],[u'7245 E Tanque Verde Rd'],[u'85715'],[u'Le-Delice']
[u'(520) 293-6933'],[u'3624 N Oracle Rd'],[u'85705'],[u'La Palma Tortilla Factory']
[u'(520) 622-1907'],[u'54 E Pennington St'],[u'85701'],[u'Cafe 54']
[u'(520) 795-7142'],[u'4676 E Grant Rd'],[u'85712'],"[u""Dunkin' Donuts""]"
[u'(520) 232-6340'],[u'2805 E Skyline Dr'],[u'85718'],"[u""A J's""]"
[u'(520) 575-0993'],[u'7300 N La Cholla Blvd'],[u'85741'],[u'Albertsons']
[u'(520) 742-2253'],[u'4552 W Sun Quest St'],[u'85741'],[u'Sweet Things Cupcake Shoppe']
[u'(520) 398-6606'],[u'2526 E 6th St'],[u'85716'],[u'Tayna Restaurant &amp; Bakery']
[u'(520) 322-6398'],[u'4775 E Grant Rd'],[u'85712'],[u'Perkins Restaurant &amp; Bakery']
[u'(520) 326-7737'],[u'3073 N Campbell Ave'],[u'85719'],[u'Prep &amp; Pastry']
[u'(520) 292-8567'],[u'3419 N 1st Ave'],[u'85719'],[u'Cakes By Clara']
[u'(520) 792-6631'],[u'2550 N Dragoon St'],[u'85745'],[u'Bakehouse Bread']
[u'(520) 733-3265'],[u'9572 E 29th St'],[u'85748'],[u'Super Duper Donuts']
